generation,perplexity,rouge_rouge1,rouge_rouge2,rouge_rougeL,model_collapse_index_mci,model_collapse_index_components_performance,model_collapse_index_components_diversity,model_collapse_index_components_distribution,model_collapse_index_components_duplication,model_collapse_index_components_rare_features,lexical_diversity_vocabulary_size,lexical_diversity_type_token_ratio,lexical_diversity_unique_unigrams,lexical_diversity_unique_bigrams,lexical_diversity_unique_trigrams,lexical_diversity_hapax_legomena_ratio,semantic_diversity_pairwise_cosine_similarity,semantic_diversity_embedding_variance,js_divergence,embedding_distance_js_divergence,embedding_distance_wasserstein_distance,embedding_distance_mean_cosine_shift,duplication_exact_duplicate_rate,duplication_normalized_duplicate_rate,duplication_self_repetition,rare_features_common,rare_features_medium,rare_features_rare
0,11.33458137512207,0.1595699870940389,0.04713871379844825,0.12275105634254123,0.4,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
1,11.57276725769043,0.13712805397065675,0.028012471317941757,0.09730550207943602,0.2518972793773715,0.20729397384653436,0.0,1.0,0.0004919061049193932,0.0,1043.0,0.33688630490956073,1043.0,2677.0,3036.0,0.6720997123681688,0.06983388215303421,0.0023738613817840815,0.7604883757170425,0.7604883757170425,0.029500048210206728,0.26217079162597656,0.0,0.0,0.0004919061049193932,0.05792163543441227,0.0021292451825827745,0.0014905245226772659
2,11.549172401428223,0.12943800296515443,0.030005384173570373,0.09961689249888495,0.2472054625461187,0.18846407137303622,0.0,1.0,0.0005962980190641398,0.0,1039.0,0.3393207054212933,1039.0,2663.0,2999.0,0.6554379210779596,0.07282640039920807,0.002366224303841591,0.764657051708632,0.764657051708632,0.0468880869974303,0.3652268648147583,0.0,0.0,0.0005962980190641398,0.057211811470755256,0.0021292451825827745,0.0014905245226772659
3,11.858758926391602,0.13401564549746156,0.027797414402014244,0.09816615503229428,0.250145763642221,0.2002826048326778,0.0,1.0,0.0005007495603437937,0.0,1099.0,0.3512304250559284,1099.0,2704.0,3058.0,0.6706096451319381,0.07642266899347305,0.002357046352699399,0.7680495299139651,0.7680495299139651,0.05340737334053123,0.3358633518218994,0.0,0.0,0.0005007495603437937,0.06033503691084611,0.002608325348663899,0.0011356377315636312
