generation,perplexity,rouge_rouge1,rouge_rouge2,rouge_rougeL,model_collapse_index_mci,model_collapse_index_components_performance,model_collapse_index_components_diversity,model_collapse_index_components_distribution,model_collapse_index_components_duplication,model_collapse_index_components_rare_features,lexical_diversity_vocabulary_size,lexical_diversity_type_token_ratio,lexical_diversity_unique_unigrams,lexical_diversity_unique_bigrams,lexical_diversity_unique_trigrams,lexical_diversity_hapax_legomena_ratio,semantic_diversity_pairwise_cosine_similarity,semantic_diversity_embedding_variance,js_divergence,embedding_distance_js_divergence,embedding_distance_wasserstein_distance,embedding_distance_mean_cosine_shift,duplication_exact_duplicate_rate,duplication_normalized_duplicate_rate,duplication_self_repetition,rare_features_common,rare_features_medium,rare_features_rare
0,11.33458423614502,0.1595699870940389,0.04713871379844825,0.12275105634254123,0.4,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
1,11.334587097167969,0.1595699870940389,0.04713871379844825,0.12275105634254123,0.20007378591573793,0.0,0.0,1.0,0.0004919061049193932,0.0,1043.0,0.33688630490956073,1043.0,2677.0,3036.0,0.6720997123681688,0.06983388215303421,0.0023738613817840815,0.7604883757170426,0.7604883757170426,0.029500048210206728,0.26217079162597656,0.0,0.0,0.0004919061049193932,0.05792163543441227,0.0021292451825827745,0.0014905245226772659
2,11.33458423614502,0.1595699870940389,0.04713871379844825,0.12275105634254123,0.20007378591573793,0.0,0.0,1.0,0.0004919061049193932,0.0,1043.0,0.33688630490956073,1043.0,2677.0,3036.0,0.6720997123681688,0.06983388215303421,0.0023738613817840815,0.7604883757170426,0.7604883757170426,0.029500048210206728,0.26217079162597656,0.0,0.0,0.0004919061049193932,0.05792163543441227,0.0021292451825827745,0.0014905245226772659
3,11.334587097167969,0.1595699870940389,0.04713871379844825,0.12275105634254123,0.20007378591573793,0.0,0.0,1.0,0.0004919061049193932,0.0,1043.0,0.33688630490956073,1043.0,2677.0,3036.0,0.6720997123681688,0.06983388215303421,0.0023738613817840815,0.7604883757170426,0.7604883757170426,0.029500048210206728,0.26217079162597656,0.0,0.0,0.0004919061049193932,0.05792163543441227,0.0021292451825827745,0.0014905245226772659
