generation,perplexity,rouge_rouge1,rouge_rouge2,rouge_rougeL,model_collapse_index_mci,model_collapse_index_components_performance,model_collapse_index_components_diversity,model_collapse_index_components_distribution,model_collapse_index_components_duplication,model_collapse_index_components_rare_features,lexical_diversity_vocabulary_size,lexical_diversity_type_token_ratio,lexical_diversity_unique_unigrams,lexical_diversity_unique_bigrams,lexical_diversity_unique_trigrams,lexical_diversity_hapax_legomena_ratio,semantic_diversity_pairwise_cosine_similarity,semantic_diversity_embedding_variance,js_divergence,embedding_distance_js_divergence,embedding_distance_wasserstein_distance,embedding_distance_mean_cosine_shift,duplication_exact_duplicate_rate,duplication_normalized_duplicate_rate,duplication_self_repetition,rare_features_common,rare_features_medium,rare_features_rare
0,11.33458423614502,0.1595699870940389,0.04713871379844825,0.12275105634254123,0.4,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
1,11.95002555847168,0.12637802898173822,0.029839290522102085,0.0965195864741875,0.2536557960754246,0.2136964898709619,0.0,1.0,0.0015444907178940117,0.0,994.0,0.32494279176201374,994.0,2498.0,2916.0,0.6649899396378269,0.06424079835414886,0.0023881352972239256,0.758866424980756,0.758866424980756,0.04463643487384528,0.29698801040649414,0.0,0.0,0.0015444907178940117,0.054017603634298694,0.002608325348663899,0.0014905245226772659
2,12.1707763671875,0.1330956262219813,0.019664976535654022,0.0935735097394279,0.25986584056196654,0.2376969084623789,0.0,1.0,0.002944089642478845,0.0,937.0,0.30022428708747195,937.0,2411.0,2883.0,0.624332977588047,0.09359581023454666,0.0023132190108299255,0.7657748725401846,0.7657748725401846,0.06536413866147785,0.3458378314971924,0.0,0.0,0.002944089642478845,0.05273992049971607,0.00250186308953476,0.0009227056568954504
3,12.251300811767578,0.11536630883625948,0.012659300844859661,0.07759743574158243,0.2923570289827013,0.36784710410113297,0.0,1.0,0.0026350197161200822,0.0,914.0,0.29426915647134577,914.0,2384.0,2859.0,0.6083150984682714,0.10098801553249359,0.0022943534422665834,0.7703989458101471,0.7703989458101471,0.06412430070151345,0.48720699548721313,0.0,0.0,0.0026350197161200822,0.04954571266325951,0.002235707441711913,0.001277592448009085
