generation,perplexity,rouge_rouge1,rouge_rouge2,rouge_rougeL,model_collapse_index_mci,model_collapse_index_components_performance,model_collapse_index_components_diversity,model_collapse_index_components_distribution,model_collapse_index_components_duplication,model_collapse_index_components_rare_features,lexical_diversity_vocabulary_size,lexical_diversity_type_token_ratio,lexical_diversity_unique_unigrams,lexical_diversity_unique_bigrams,lexical_diversity_unique_trigrams,lexical_diversity_hapax_legomena_ratio,semantic_diversity_pairwise_cosine_similarity,semantic_diversity_embedding_variance,js_divergence,embedding_distance_js_divergence,embedding_distance_wasserstein_distance,embedding_distance_mean_cosine_shift,duplication_exact_duplicate_rate,duplication_normalized_duplicate_rate,duplication_self_repetition,rare_features_common,rare_features_medium,rare_features_rare
0,11.33458423614502,0.1595699870940389,0.04713871379844825,0.12275105634254123,0.4,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
1,11.787841796875,0.13489968306105463,0.02795384456331102,0.0947796339362643,0.25704156941126577,0.22787113398211145,0.0,1.0,0.0004919061049193932,0.0,1043.0,0.33688630490956073,1043.0,2677.0,3036.0,0.6720997123681688,0.06983388215303421,0.0023738613817840815,0.7604883757170426,0.7604883757170426,0.029500048210206728,0.26217079162597656,0.0,0.0,0.0004919061049193932,0.05792163543441227,0.0021292451825827745,0.0014905245226772659
2,12.26456356048584,0.13676365982646305,0.02926952856760117,0.09962212375765514,0.24717258120450922,0.18842145456039072,0.0,1.0,0.000448117096076797,0.0,1092.0,0.3443708609271523,1092.0,2743.0,3108.0,0.6529304029304029,0.07957098633050919,0.0023490116000175476,0.7674982644884772,0.7674982644884772,0.05321506046843348,0.35515695810317993,0.0,0.0,0.000448117096076797,0.06097387847813742,0.0022889385712764826,0.0014905245226772659
3,12.150945663452148,0.12116616633214344,0.01546624689569924,0.08221446909283994,0.28263099409351455,0.33023412146110165,0.0,1.0,0.0004830915215943393,0.0,1030.0,0.3345241961675869,1030.0,2666.0,3014.0,0.6407766990291263,0.09402677416801453,0.0023121191188693047,0.7717965880035512,0.7717965880035512,0.05743571971146565,0.3952311873435974,0.0,0.0,0.0004830915215943393,0.05685689948892675,0.0022889385712764826,0.0017744339555681738
